In thousands of euros,Notes,30 Jun 25,30 Jun 24,Change
Interest and related income,13,"2,257,072","2,518,970","(261,899)"
Transactions with credit institutions,,"885,543","1,141,278","(255,736)"
Transactions with customers,,"622,154","663,732","(41,578)"
Bonds and other fixed-income securities,,"99,391","98,890",501
Other interest and related income,,"649,984","615,070","34,914"
Interest and related expenses,13,"(2,028,870)","(2,256,990)","228,119"
Transactions with credit institutions,,"(541,292)","(572,225)","30,933"
Transactions with customers,,(310),(220),(90)
Bonds and other fixed-income securities,,"(609,197)","(548,090)","(61,108)"
Other interest and related expenses,,"(878,072)","(1,136,455)","258,383"
Commissions (income),14,"67,171","52,817","14,354"
Commissions (expenses),14,(756),"(1,388)",632
"Net gains or losses on financial instruments at fair value through profit or loss, net of foreign currency impact",15,"47,854","(15,276)","63,130"
Net gains or losses on financial assets recognised at fair value through other comprehensive income,16,"18,983","29,310","(10,327)"
Income from other activities,17,"418,398","412,332","6,066"
Expenses on other activities,17,"(247,064)","(202,215)","(44,849)"
NET BANKINGINCOME,,"532,787","537,561","(4,773)"
Overheads,18,"(314,497)","(296,098)","(18,400)"
Salary and employee benefit expenses,,"(227,156)","(208,134)","(19,022)"
Other administrative expenses,,"(87,341)","(87,964)",622
"Provisions for amortisation of intangible assets and depreciation of property, plant and equipment",8,"(32,842)","(28,705)","(4,137)"
GROSS OPERATING INCOME,,"185,448","212,758","(27,310)"
Cost of credit risk,19,"(27,454)","23,599","(51,053)"
OPERATINGINCOME,,"157,994","236,357","(78,363)"
Share of earnings from companies accounted for by the equity method,20,(842),445,"(1,287)"
Net gains or losses on other assets,,(767),135,(902)
PRE - TAX INCOME,,"156,385","236,937","(80,552)"
Corporate tax,21,"(7,874)",(653),"(7,221)"
NET INCOME,,"148,511","236,284","(87,773)"
Non-controlling interests,,"(5,662)","5,289","(10,952)"
NET INCOME - GROUP SHARE,,"154,174","230,995","(76,821)"
