In thousands of euros,Notes,30 Jun 25,Notional / Outstandings,31 Dec 24,Notional / Outstandings
Loans to credit institutions,1.2.1,"422,021","285,486","544,978","555,944"
Performing loans,,"421,710","283,439","544,647","553,804"
Non-performing loans,,312,"2,047",331,"2,141"
Loans to customers,1.2.1,"624,617","626,907","607,527","680,228"
Performing loans,,"606,148","562,594","586,049","604,611"
Non-performing loans,,"18,469","64,314","21,478","75,617"
Securities,,"2,541,628","2,443,920","3,553,421","3,379,902"
Bonds and other fixed-income securities,1.2.2,"32,132","43,105","36,861","50,442"
UC ITS,,"772,431","698,206","1,638,364","1,555,111"
Equity investments and other long-term securities,1.2.3,"1,737,065","1,702,609","1,878,196","1,774,349"
of which equity investments held in investment funds,,"1,522,250","1,320,588","1,675,903","1,639,106"
of which equity investments held directly with a put option,,"214,815","382,021","202,294","135,243"
Total,,"3,588,266","3,356,313","4,705,926","4,616,075"
