In thousands of euros,30 Jun 25.Current hedges.Carrying amounts,30 Jun 25.Current hedges.Of which accrued remeasurements of fair value hedges,30 Jun 25.Expired hedges.Of which accrued remeasurements of fair value hedges remaining,30 Jun 25.Expired hedges.Accrued remeasurements of fair value,30 Jun 25..Remeasurement of fair value during the hedging period (incl. hedges that expired over the period)
Interest rate derivatives,"21,318,373","(1,397,652)",-,"3,317","(161,795)"
Loans and receivables due from credit institutions at amortised cost,"978,566","(65,041)",-,(14),"1,442"
Loans and receivables due from customers at amortised cost,"18,083,789","(1,301,108)",-,"1,941","(150,301)"
Financial assets at fair value through other comprehensive income,"2,256,019","(31,504)",-,"1,390","(12,936)"
Interest rate derivatives (currency swaps),"4,489,704","(372,709)",-,"(2,889)","(462,836)"
Loans and receivables due from credit institutions at amortised cost,"535,148","(26,537)",-,"(1,248)","(47,984)"
Loans and receivables due from customers at amortised cost,"3,954,556","(300,363)",-,"(2,054)","(368,630)"
Financial assets at fair value through other comprehensive income,-,"(45,809)",-,413,"(46,222)"
Other,-,"(47,513)",-,-,"(47,513)"
Total fair value hedging of assets,"25,808,077","(1,817,873)",-,428,"(672,144)"
Interest rate derivatives,"(37,863,659)","2,003,126","(17,188)","5,068","96,616"
Debt securities in issue at amortised cost,"(37,863,659)","2,003,126","(17,188)","5,068","96,616"
Interest rate derivatives (currency swaps),"(12,518,258)","842,547",-,"(190,329)","1,552,821"
Debt securities in issue at amortised cost,"(12,518,258)","842,547",-,"(190,329)","1,552,821"
Total fair value hedging of liabilities,"(50,381,917)","2,845,673","(17,188)","(185,260)","1,649,437"
