In thousands of euros,31 Dec 24,Provisions,Reversals,Other items,30 Jun 25
Included in the cost of risk,,,,,
French Overseas Department subsidiary risks,"17,197",169,(499),-,"16,867"
Other provisions for risk (*),"124,710","23,253","(27,241)","(5,060)","115,662"
of which stage 1,"27,939","3,140","(3,748)",-,"27,331"
of which stage 2,"53,115","8,035","(6,579)",-,"54,571"
of which stage 3,"43,656","12,078","(16,915)","(5,060)","33,760"
Excluded from the cost of risk,,,,,
Provision for expenses - Sovereign loans,"574,800","105,278","(168,300)","1,280","513,059"
of which calibration of the reserve account,"285,324","48,190",(82),-,"333,432"
Salary and employee benefit expenses,"136,385",19,"(11,339)",-,"125,066"
Provision for risks and expenses (*),"29,261",696,"(1,717)","5,060","33,299"
Total,"882,353","129,415","(209,095)","1,280","803,953"
