For the year ended December 31:,2025,2024,Yr.-to-Yr. Percent Change
Other (income) and expense,,,
(Gains)/losses on foreign currency transactions,$ 993,$ (458),NM
(Gains)/losses on derivative instruments (1),(641),515,NM
Interest income,(645),(747),(13.7)%
Net (gains)/losses from securities and investment assets,7,(20),NM
Retirement-related costs/(income),65,"3,457",(98.1)
Other,(221),(877),(74.8)
Total other (income) and expense,$ (442),"$ 1,871",NM
Non-operating adjustments,,,
Amortization of acquired intangible assets,$ -,$ (2),(100.0)
Acquisition-related charges (1),(11),(68),(83.5)
Non-operating retirement-related (costs)/income,(65),"(3,457)",(98.1)
Operating (non-GAAP) other (income) and expense,$ (518),"$ (1,656)",(68.7)%
