,Total Contractual.Payment Stream,Payments Due In.2026,Payments Due In.2027-28,Payments Due In.2029-30,Payments Due In.After 2030
Long-term debt obligations,"$ 61,134","$ 6,146","$ 11,451","$ 9,333","$ 34,204"
Interest on long-term debt obligations,"24,205","2,078","3,602","2,941","15,585"
Finance lease obligations (1),"1,153",279,474,255,144
Operating lease obligations (1),"3,958",935,"1,342",707,974
Purchase obligations,"4,817","1,958","1,926",731,202
Other long-term liabilities,,,,,
Minimum defined benefit pension plan funding (mandated) (2),800,50,300,450,
Excess Savings Plan,"1,783",238,489,507,549
Long-term termination benefits,875,311,101,75,388
Tax reserves (3),"4,507",57,,,
Other,550,66,102,83,300
Total,"$ 103,782","$ 12,119","$ 19,787","$ 15,081","$ 52,345"
