,Common Stock and Additional Paid-in Capital,Retained Earnings,Treasury Stock,Accumulated Other Comprehensive Income/(Loss),Total IBM Stockholders' Equity,Non- Controlling Interests,Total Equity
2024,,,,,,,
"Equity, January 1, 2024","$ 59,643","$151,276","$(169,624)","$ (18,761)","$ 22,533",$ 80,"$22,613"
Net income plus other comprehensive income/(loss),,,,,,,
Net income,,"6,023",,,"6,023",,"6,023"
Other comprehensive income/ (loss),,,,"3,492","3,492",,"3,492"
Total comprehensive income,,,,,"$ 9,516",,"$ 9,516"
Cash dividends paid-common stock ($6.67 per share),,"(6,147)",,,"(6,147)",,"(6,147)"
"Common stock issued under employee plans (12,253,153 shares)","1,737",,,,"1,737",,"1,737"
"Purchases (3,430,885 shares) and sales (2,454,155 shares) of treasury stock under employee plans-net",,11,(343),,(332),,(332)
Changes in noncontrolling interests,,,,,,6,6
"Equity, December 31, 2024","$ 61,380","$151,163","$(169,968)","$ (15,269)","$ 27,307",$ 86,"$27,393"
