For the year ended December 31:,2025,2024,2023
Pre-tax income from continuing operations,,,
Total reportable segment profit,"$ 16,364","$ 13,535","$ 12,829"
Amortization of acquired intangible assets,"(2,166)","(1,830)","(1,627)"
Acquisition-related charges,(154),(122),(33)
Non-operating retirement-related (costs)/income (2),(65),"(3,457)",39
Stock-based compensation (3),"(1,685)","(1,311)","(1,133)"
Net interest excluding the Financing segment,"(1,312)",(984),(973)
Workforce rebalancing charges (3),(653),(692),(435)
Other-divested businesses (4),(33),234,83
Unallocated corporate amounts and other (5),31,425,(59)
Total pre-tax income from continuing operations,"$ 10,328","$ 5,797","$ 8,690"
