($ in millions) For the year ended December,2025,2024,2023
Software,,,
Software,"$ 26,493","$ 24,055","$ 22,409"
Services,"3,444","3,002","2,562"
Systems,25,29,40
Consulting,,,
Services,"$ 20,801","$ 20,277","$ 20,515"
Software,169,324,272
Systems,85,91,98
Infrastructure,,,
Servers,"$ 5,410","$ 3,693","$ 4,253"
Maintenance,"3,926","3,951","4,138"
Storage,"2,371","2,360","2,081"
Services,"2,216","2,262","2,463"
Software,"1,795","1,753","1,658"
Financing,,,
Financing,$ 705,$ 681,$ 680
Used equipment sales,32,32,60
