For the year ended December 31:,2025.Amount,2025.Percentage
U.S. federal statutory tax rate,"$ 2,169",21 %
"State and local income taxes, net of federal income tax effect (1)",(130),(1)
Foreign tax effects,,
Ireland,,
Statutory tax rate difference,(310),(3)
Other,70,1
Singapore,,
Local taxes at a rate different than the statutory rate,(185),(2)
Other,55,1
Brazil,203,2
Other foreign jurisdictions,656,6
Effect of changes in tax laws or rates enacted in the current period,308,3
Effect of cross-border tax laws,,
Current GILTI,427,4
Deferred GILTI,168,2
Foreign tax credits,(285),(3)
Other,(22),-
Tax credits,,
R&D,(265),(3)
Changes in valuation allowances,(77),(1)
Non-taxable or non-deductible items,,
Stock-based compensation,(217),(2)
Other,(83),(1)
Changes in unrecognized tax benefits,"(2,754)",(27)
Other adjustments,33,-
Effective tax rate,$ (242),(2)%
