,U.S. Plan.Level 1,U.S. Plan.Level 2,U.S. Plan.Level 3,U.S. Plan.Total,Non-U.S. Plans.Level 1,Non-U.S. Plans.Level 2,Non-U.S. Plans.Level 3,Non-U.S. Plans.Total
Equity,,,,,,,,
Equity securities (1),$ 655,$ -,$ 7,$ 661,$ 67,$ 1,$ -,$ 68
Equity mutual funds (2),183,-,-,183,-,-,-,-
Fixed income,,,,,,,,
Government and related (3),-,"7,010",-,"7,010",110,"6,807",-,"6,917"
Corporate bonds,-,"3,663",186,"3,849",7,"2,550",-,"2,557"
Mortgage and asset-backed securities,-,141,-,141,-,4,-,4
Fixed income mutual funds (4),240,-,-,240,-,-,-,-
Insurance contracts (5),-,-,-,-,-,"3,332",-,"3,332"
Cash and short-term investments (6),670,(24),-,646,170,277,-,447
Real estate,-,-,-,-,-,-,3,3
Derivatives (7),-,8,-,8,39,58,-,97
Other mutual funds (8),-,-,-,-,20,-,-,20
Subtotal,"1,747","10,799",193,"12,739",413,"13,029",3,"13,444"
Investments measured at net asset value using the NAV practical expedient (9),-,-,-,"4,852",-,-,-,"11,807"
Other (10),-,-,-,0,-,-,-,(47)
Fair value of plan assets,"$ 1,747","$10,799",$ 193,"$17,591",$ 413,"$13,029",$ 3,"$25,205"
