Balance sheet at 30 June 2025 
Assets
In thousands of euros,Notes,30 Jun 25,31 Dec 24,Change
"Cash, due from central banks", ,"1,529,779","863,504","666,274"
Financial assets at fair value through profit or loss,1,"3,868,930","4,739,783","(870,853)"
Hedging derivatives,2,"2,586,028","3,341,422","(755,394)"
Financial assets at fair value through other comprehensive income,3,"3,434,606","2,273,869","1,160,737"
Debt securities at amortised cost,5,"4,031,971","3,148,432","883,539"
Financial assets at amortised cost, ,"53,009,695","53,772,227","(762,531)"
Loans and receivables due from credit institutions and equivalent at amortised cost,5,"12,637,006","13,303,340","(666,334)"
On-demand, ,"932,054","1,213,880","(281,826)"
At maturity, ,"11,704,952","12,089,460","(384,508)"
Loans and receivables due from customers at amortised cost,5,"40,372,689","40,468,886","(96,198)"
Other loans to customers, ,"40,372,689","40,468,886","(96,198)"
Of which calibration of the reserve account, ,"(1,047,780)","(930,187)","(117,592)"
Revaluation differences on interest rate-hedged portfolio, ,"14,045","45,209","(31,164)"
Current tax assets, ,"8,398","5,966","2,432"
Deferred tax assets, ,"27,419","27,513",(93)
Accruals and other miscellaneous assets,7,"3,466,979","2,907,962","559,017"
Accruals, ,"96,148","53,516","42,632"
Other assets, ,"3,370,831","2,854,445","516,386"
Equity stakes in companies accounted for by the equity method,20,"158,014","160,320","(2,305)"
"Fixed assets property, plant and equipment",8,"902,952","858,161","44,791"
Intangible assets,8,"190,124","182,597","7,527"
TOTAL ASSETS, ,"73,228,942","72,326,964","901,978"

Liabilities
In thousands of euros,Notes,30 Jun 25,31 Dec 24,Change
Financial liabilities at fair value through profit or loss,1,"95,270","481,623","(386,353)"
Hedging derivatives,2,"4,159,400","3,662,740","496,660"
Financial liabilities at amortised cost, ,"54,396,791","53,477,032","919,759"
Debt securities in issue at amortised cost,9,"54,362,989","53,465,351","897,639"
Interbank market securities, ,"2,012,968","809,211","1,203,757"
Bonds, ,"52,350,022","52,656,140","(306,118)"
Debts to credit institutions and equivalent at amortised cost,9,"32,210","9,556","22,654"
On-demand, ,"21,648","9,016","12,633"
At maturity, ,"10,561",540,"10,021"
Debts to customers at amortised cost,9,"1,592","2,125",(533)
Current tax liabilities, ,"7,470","14,441","(6,971)"
Deferred tax liabilities, ,"10,855","13,872","(3,017)"
Accruals and other miscellaneous liabilities,7,"3,044,424","3,330,294","(285,870)"
Allocated public funds, ,"94,813","87,110","7,704"
Other liabilities, ,"2,949,610","3,243,184","(293,574)"
Provisions,10,"803,953","882,354","(78,401)"
Of which calibration of the reserve account, ,"333,431","285,324","48,107"
Subordinated debt,11,"987,897","842,617","145,280"
TOTAL DEBTS, ,"63,506,058","62,704,972","801,085"
Equity Group share,(Tab 1),"9,531,780","9,422,346","109,433"
Provisions and related retained earnings, ,"5,177,999","5,177,999",-
Consolidated retained earnings and other, ,"4,068,114","3,786,818","281,296"
Gains and losses recognised in other comprehensive income, ,"131,493","113,918","17,575"
Earnings for the period, ,"154,174","343,612","(189,438)"
Non-controlling interests,(Tab 1),"191,105","199,646","(8,541)"
Total equity, ,"9,722,885","9,621,992","100,893"
TOTAL LIABILITIES, ,"73,228,942","72,326,964","901,978"
