0,1,2,3
MANAGEMENT DISCUSSION,,NOTES TO CONSOLIDATED FINANCIAL STATEMENTS,
Overview,6,Basis & Policies,
Forward-Looking and Cautionary Statements,7,A  Significant Accounting Policies,48
Management Discussion Snapshot,8,B  Accounting Changes,62
Description of Business,11,Performance & Operations,
Year in Review,16,C  Revenue Recognition,63
Prior Year in Review,28,D  Segments,65
Other Information,30,E  Acquisitions & Divestitures,69
Looking Forward,30,F  Other (Income) and Expense,73
Liquidity and Capital Resources,31,G  Taxes,74
Critical Accounting Estimates,34,H  Earnings Per Share,78
Currency Rate Fluctuations,36,Balance Sheet & Liquidity,
Market Risk,37,I  Financial Assets & Liabilities,79
Financing,38,J  Inventory,80
,,K  Financing Receivables,80
Report of Management,39,"L  Property, Plant & Equipment",83
Report of Independent Registered,,M  Leases,83
Public Accounting Firm,40,N  Intangible Assets Including Goodwill,86
,,O  Borrowings,87
CONSOLIDATED FINANCIAL STATEMENTS,,P  Other Liabilities,90
Income Statement,42,Q  Commitments & Contingencies,91
Comprehensive Income,43,R  Equity Activity,93
Balance Sheet,44,"Risk Management, Compensation/Benefits & Other",
Cash Flows,45,S  Derivative Financial Instruments,95
Equity,46,T  Stock-Based Compensation,100
,,U  Retirement-Related Benefits,103
,,V  Subsequent Events,116
,,Performance Graphs,117
,,Stockholder Information,118
,,Board of Directors and Senior Leadership,119
