In thousands of euros,30 Jun 25<br/>On-demand,30 Jun 25<br/>At maturity,31 Dec 24<br/>On-demand,31 Dec 24<br/>At maturity
----------------------------------------------------------------------,-----------------------,-------------------------,-----------------------,-------------------------
Loans to credit institutions at amortised cost,-,"9,185,950",-,"9,375,959"
Performing loans,-,"9,037,994",-,"9,213,297"
Non-performing loans,-,"147,956",-,"162,662"
Impairment,-,"(122,965)",-,"(146,998)"
Related loans receivable,-,"67,338",-,"82,990"
Valuation adjustments of loans hedged by forward financial instruments,-,"(53,889)",-,"(83,973)"
Subtotal,-,"9,076,434",-,"9,227,978"
Loans to customers at amortised cost,-,"43,414,906",-,"43,367,624"
Performing loans,-,"40,609,416",-,"40,456,346"
Non-performing loans,-,"2,805,490",-,"2,911,278"
Impairment,-,"(1,753,467)",-,"(1,580,876)"
Related loans receivable,-,"162,581",-,"164,133"
Valuation adjustments of loans hedged by forward financial instruments,-,"(1,451,331)",-,"(1,481,994)"
Subtotal,-,"40,372,689",-,"40,468,886"
Total loans,-,"49,449,123",-,"49,696,865"
Other receivables,-,-,-,-
Deposits (available cash) at credit institutions,"932,054","2,590,864","1,213,880","2,828,875"
Related loans receivable,-,"37,653",-,"32,606"
Total other receivables,"932,054","2,628,517","1,213,880","2,861,482"
Total loans and other receivables,"932,054","52,077,641","1,213,880","52,558,346"
