In thousands of euros,31 Dec 24,Provisions,Reversals,Foreign exchange and other items,30 Jun 25
-------------------------------------------,-----------,----------,---------,--------------------------------,-----------
Credit institutions,"(146,998)","(3,677)","24,568","3,142","(122,965)"
of which stage 1,"(36,653)","(2,833)","4,074",-,"(35,412)"
of which stage 2,"(44,810)",(780),"10,010",-,"(35,580)"
of which stage 3,"(65,534)",(64),"10,484","3,142","(51,973)"
Credit to customers,"(1,580,876)","(250,594)","62,869","15,134","(1,753,467)"
of which calibration of the reserve account,"(930,187)","(125,943)","8,352",-,"(1,047,779)"
of which stage 1,"(112,886)","(2,240)","11,236",-,"(103,891)"
of which stage 2,"(406,212)","(124,821)","8,264",-,"(522,769)"
of which stage 3,"(1,061,778)","(123,533)","43,370","15,134","(1,126,807)"
Bonds and other securities,"(20,502)",(548),"4,222",603,"(16,224)"
of which stage 1,"(6,907)",(108),"1,782",-,"(5,234)"
of which stage 2,-,-,-,-,-
of which stage 3,"(13,594)",(439),"2,440",603,"(10,991)"
Other receivables,"(13,133)",-,-,"1,072","(12,061)"
Total,"(1,761,508)","(254,819)","91,659","19,952","(1,904,717)"
