In thousands of euros,30 Jun 25<br/>Gains and losses on financial instruments at fair value through profit and loss,30 Jun 25<br/>of which foreign currency impact on derivatives,30 Jun 24<br/>Gains and losses on financial instruments at fair value through profit and loss,30 Jun 24<br/>of which foreign currency impact on derivatives
----------------------------------------------------------------------------------------,---------------------------------------------------------------------------------------------,-------------------------------------------------------------,---------------------------------------------------------------------------------------------,-------------------------------------------------------------
Financial assets and liabilities at fair value through profit or loss,"(49,819)","(3,436)","12,010","6,428"
Income from financial instruments at fair value through profit and loss,"25,071",-,"16,788",-
Unrealised or realised gains or losses on debt securities that do not meet SPPI criteria,"(98,679)",-,"5,177",-
Hedging of loans at fair value through profit or loss,"23,789","(3,436)","(9,956)","6,428"
Income resulting from hedge accounting,"36,840","10,186","2,944","22,645"
Change in fair value of hedging derivatives,"(987,967)","10,570","49,965","22,754"
Change in fair value of the hedged item,"1,024,806",(384),"(47,021)",(109)
Natural hedging/Trading,"60,865","(480,882)","(30,185)","71,388"
CVA/DVA/FVA,(33),-,(46),-
Total,"47,854","(474,131)","(15,276)","100,461"
