In thousands of euros,30 Jun 25,30 Jun 24
-----------------------------------------------------------------------------------------,---------,---------
Impairments on performing (stage 1) or deteriorated (stage 2) assets,"3,049","50,254"
Stage 1: losses assessed at the amount of expected credit losses for the coming 12 months,"4,217","(7,819)"
Debt securities recorded at amortised cost,"3,559","(5,590)"
Signature commitments,658,"(2,228)"
Stage 2: losses assessed at the amount of expected credit losses for the lifetime,"(1,168)","58,072"
Debt securities recorded at amortised cost,338,"36,817"
Signature commitments,"(1,506)","21,255"
Impairments of impaired assets (stage 3),"(23,405)","(25,659)"
Stage 3: impaired assets,"(24,640)","(28,702)"
Debt securities recorded at amortised cost,"(28,199)","(27,250)"
Signature commitments,"3,559","(1,452)"
Other provisions for risk,"1,235","3,043"
Net reversals of impairments and provisions,"(20,356)","24,594"
Losses on loans and bad loans,"(7,762)","(1,171)"
Discounts on restructured loans,153,176
Recovery of loans and receivables,511,-
Cost of risk,"(27,454)","23,599"
