Other,Individual,
--------------------------------------,-------------------------------,--------------------------
Other - Professional,Service Provider,Unknown
Other - Social Care Staff,Service Provider - Private,Unknown - Community Sector
Service Provider - Public Sector,Unknown - Individual/Stranger,
Service Provider - Voluntary Sector,Unknown - Other Private Sector,
EXAMPL known - Other Public,Service Provider,
known - Other Voluntary Sector,Unknown - Police,
Unknown - Primary Health Care,Unknown - Secondary Health Care,
Unknown - Social Care Manager/Assessor,,
