For year ended December 31:,2025,2024 (1),Change,Percent/Margin
--------------------------------------------------------------------,---------,---------,--------,--------------
Revenue (2),"$ 67,535","$ 62,753",7.6 %,
Gross profit margin,58.2 %,56.7 %,1.5 pts.,
Total expense and other (income),,,(2.6),
Income from continuing operations before income taxes,"$ 28,968","$ 29,754",78.2 %,
Provision for/(benefit from) income taxes from continuing operations,"$ 10,328","$ 5,797",11.1 %,
Income from continuing operations (1),$ (242),$ (218),75.7 %,
Income from continuing operations (1),"$ 10,571","$ 6,015",,margin 15.7 %
"Income from discontinued operations, net of tax",$ 22,$ 8,162.5 %,
Net income,"$ 10,593","$ 6,023",75.9 %,
Earnings per share from continuing operations–assuming dilution,$ 11.14,$ 6.42,73.5 %,
Consolidated earnings per share–assuming dilution,$ 11.17,$ 6.43,73.7 %,
Weighted-average shares outstanding–assuming dilution,$ 948.7,$ 937.2,1.2 %,
Assets (3),"$ 151,880","$ 137,175",10.7 %,
Liabilities (3),"$ 119,139","$ 109,783",8.5 %,
Equity (3),"$ 32,740","$ 27,393",19.5 %,
