For the year ended December 31:,2025,2024,Yr.-to-Yr. Percent Change,Yr.-to-Yr. Percent Adjusted for Currency,,
---------------------------------,------------------------------------------,-------,-------------------------,----------------------------------------,-------,-------
Revenue,Gross margin,Revenue,Gross margin,,,
Software,"$29,962",83.5%,"$27,085",83.7%,10.6%,9.1%
Consulting,"$21,055",28.1%,"$20,692",27.0%,1.8%,0.4%
Infrastructure,"$15,718",58.6%,"$14,020",55.8%,12.1%,10.4%
Financing,$737,45.3%,$713,47.9%,3.3%,2.5%
Other,$63,NM,$243,(352.8%),(74.0%),(77.5%)
Total revenue,"$67,535",58.2%,"$62,753",56.7%,7.6%,6.1%
Total gross profit,"$39,297",,"$35,551",,10.5%,
Non-operating adjustments,Amortization of acquired intangible assets,$888,$724,22.6%,,
Operating (non-GAAP) gross profit,"$40,184",,"$36,275",10.8%,,
Operating (non-GAAP) gross margin,59.5%,,57.8%,1.7 pts.,,
