Current liabilities,2025,2024
------------------------------------------------------------,-------,-------
Taxes,"$ 2,347","$ 2,033"
Short-term debt,"6,424","5,089"
Accounts payable,"4,756","4,032"
Compensation and benefits,"4,114","3,605"
Deferred income,"16,101","13,907"
Operating lease liabilities,800,768
Other accrued expenses and liabilities,"4,116","3,709"
Total current liabilities,"38,658","33,142"
Long-term debt,"54,836","49,884"
Retirement and nonpension postretirement benefit obligations,"9,018","9,432"
Deferred income,"4,271","3,622"
Operating lease liabilities,"2,547","2,655"
Other liabilities,"9,810","11,048"
Total liabilities,"119,139","109,783"
