($ in millions),For the year ended December 31:,2025,2024,2023
--------------------,-------------------------------,---------,---------,---------
U.S. federal,Current,"$ (1,722)",$ (335),$ 560
,Deferred,$ (119),"$ (2,204)","$ (1,371)"
,Total,"$ (1,842)","$ (2,539)",$ (811)
U.S. state and local,Current,$ 135,$ 152,$ 127
,Deferred,$ (130),$ (335),$ (162)
,Total,$ 5,$ (183),$ (34)
Non-U.S.,Current,"$ 2,303","$ 2,301","$ 1,594"
,Deferred,$ (708),$ 203,$ 428
,Total,"$ 1,595","$ 2,504","$ 2,022"
