,,,,,Fair Value,2025,,,2024,
--------------------,-,-------,-,----------------------------------------------------,---------------,----------,---------------,----------,---------------,---
,,,,,Hierarchy Level,Assets (5),Liabilities (6),Assets (5),Liabilities (6),
Cash equivalents (1),,"$ 7,072",,,,,N/A,"$ 6,663",N/A,
,,,,"Time deposits, certificates of deposit and other (2)",2,"$ 7,485",N/A,"$ 6,948",N/A,
,,,,Money market funds,1,413,N/A,,284,N/A
,,,,Debt securities–current (2) (3),2,830,N/A,,644,N/A
,,,,Debt securities–noncurrent (2) (4),"2,3",9,N/A,,124,N/A
,,,,Derivatives designated as hedging instruments,,,,,,
,,,,Interest rate contracts,2,2,171,,—,362
,,,,Foreign exchange contracts,2,545,325,,645,294
,,,,Derivatives not designated as hedging instruments,,,,,,
,,,,Foreign exchange contracts,2,12,14,,22,43
,,,,Equity contracts,2,34,3,4,,27
,,,,Total,,"$ 8,916",$ 513,"$ 8,386",$ 726,
