($ in millions),Maturities,2025,2024
---------------------------------------------------------------------------,----------,-----,-----
"U.S. dollar debt (weighted-average interest rate at December 31, 2025): (1)",5.1%,—,"1,601"
,3.7%,"5,800","5,800"
,3.3%,"4,119","4,119"
,4.8%,"2,319","1,313"
,3.6%,"3,757","3,750"
,3.2%,"2,355","1,350"
,4.8%,500,500
,4.6%,"2,700","1,850"
,4.8%,750,750
,4.9%,"1,000","1,000"
,5.2%,900,—
,8.0%,83,83
,4.5%,"2,745","2,745"
,2.9%,650,650
,4.0%,"1,107","1,107"
,5.3%,"1,000","1,000"
,7.0%,27,27
,4.7%,650,650
,4.3%,"3,000","3,000"
,3.0%,750,750
,4.2%,"1,400","1,400"
,5.1%,650,650
,5.3%,"1,400","1,400"
,5.7%,"1,000",—
,7.1%,$ 316,316
