,,,,,,,,,,,,,,,,
-------------------------------,-------,------,-----,--------------------------------------------------,-----,-------,----,-------------------------------,-----------------------------------------------,----------------,-------------------,-----------------,----------------,---,---,---
For the year ended December 31:,,,,,,,,Gains/(Losses),Amounts Excluded from Effectiveness Testing (1),,,,,,,
,,,,,,,,2025,2024,2023,Consolidated,Recognized in OCI,Income Statement,,,
Cost of services,$ 27,($ 22),$ 5,,,,,Interest rate contracts,$ —,$ —,*Cost of financing*,*$ 2*,*$ 2*,,,
Cost of sales,,,,15,(40),,(22),Foreign exchange contracts,,Interest expense,11,,,N/A,N/A,N/A
Cost of financing,(2),10,11,Amount included in the assessment of effectiveness,,,,,175,405,213,Cost of services,27,,,
SG\&A expense,(170),(151),(165),Cost of sales,15,(40),(22),,,,,,,N/A,N/A,
Other (income) and expense,,,,(641),515,,(17),Cost of financing,$ 2,$ 4,$ 11,N/A,N/A,,,
Interest expense,,,,(13),51,,54,SG\&A expense,6,(16),(12),,,N/A,N/A,
,,,,Other (income) and expense,,,,,,,(633),48,(239),N/A,N/A,
,,,,,,,,,,Interest expense,12,19,51,N/A,N/A,
Total,($ 362),,$ 504,$ 140,$ 140,($ 116),$ 13,the assessment of effectiveness,"(2,120)","1,354",,,,,,
