,,,,,,,,,,,,,,,,,U.S. Plans,For the year ended December 31:,Non-U.S. Plans
-,----,----,----,----,----,----,-,-,-,-,-,-------------------------------------------------,-------,-------,-------,-------,----------,-------------------------------,--------------
,2025,2024,2023,2025,2024,2023,,,,,,,,,,,,,
,,,,,,,,,,,,Service cost (1),$ 352,$ 394,$ —,$ 174,$ 170,$ 177,
,,,,,,,,,,,,Interest cost (2),,748,911,"1,090","1,070","1,077","1,170"
,,,,,,,,,,,,Expected return on plan assets (2),"(1,073)","(1,253)","(1,529)","(1,467)","(1,546)","(1,440)",
,,,,,,,,,,,,Amortization of prior service costs/(credits) (2),,—,—,0,22,22,20
,,,,,,,,,,,,Recognized actuarial losses (2),,280,452,109,343,516,400
,,,,,,,,,,,,Curtailments and settlements (2) (3),,—,"2,761",—,9,398,7
,,,,,,,,,,,,Multi-employer plans,,—,—,—,13,13,13
,,,,,,,,,,,,Other costs/(credits)(2),,—,—,—,5,3,13
,,,,,,,,,,,,Total net periodic (income)/cost (3),$ 307,"$ 3,265",$ (329),$ 170,$ 652,$ 359,
