,U.S. Plan,,,Non-U.S. Plans,,
-------------------------------------------------,---------,------,------,--------------,-----,-----
For the year ended December 31:,2025,2024,2023,2025,2024,2023
Service cost,$ 2,$ 114,$ 2,$ 2,$ 2,$ 2
Interest cost (2),—,$ 106,$ 117,$ 42,$ 41,$ 39
Expected return on plan assets (2),($ 29),—,—,($ 1),($ 1),($ 2)
Amortization of prior service costs/(credits) (2),—,($ 29),($ 29),0,0,0
Recognized actuarial losses (2),—,—,—,1,($ 1),($ 1)
Curtailments and settlements (2),—,—,0,0,($ 2),—
Other costs/(credits) (2),0,—,—,—,0,0
Total net periodic cost,$ 86,$ 79,$ 92,$ 44,$ 41,$ 36
