($ in millions),,,Defined Benefit Pension Plans,,,,Nonpension Postretirement Benefit Plans,,,,,,
----------------------------------------------,--------------------------------------,----------,-----------------------------,--------------,---------,--------------,---------------------------------------,-----,----,-----,-,-,-
,,U.S. Plans,,Non-U.S. Plans,U.S. Plan,Non-U.S. Plans,,,,,,,
Change in benefit obligation,,2025,2024,2025,2024,2025,2024,2025,2024,,,,
,Benefit obligation at January 1,"14,219",,"28,490",,"2,257","2,233",507,,586,,,
,Service cost,,394,,"33,479",,,,,,,,
,Interest cost,352,911,174,170,2,2,2,2,,,,
,Plan participants' contributions,—,—,19,17,33,33,—,—,,,,
,"Acquisitions/divestitures, net",—,—,3,7,—,—,—,—,,,,
,Actuarial losses/(gains),316,(589),(644),"(1,076)",61,116,1,0,,,,
,Benefits paid from trust,(749),"(1,432)","(1,656)","(1,635)",(239),(233),(8),,(4),,,
,Direct benefit payments,(120),(122),(442),(422),(3),(2),(34),,(32),,,
,Foreign exchange impact,—,—,"3,031","(1,850)",—,—,36,,(85),,,
Amendments/curtailments/ settlements/other (1),,(306),"(6,178)",(173),"(1,277)",0,—,0,(1),,,,
Benefit obligation at December 31,"14,460","14,219","29,872",,"28,490","2,224","2,257",547,,507,,,
Change in plan assets,Fair value of plan assets at January 1,"17,591","24,437","25,205",,,,,,,,,
,Actual return on plan assets,,764,,"29,059",6,10,14,,23,1,—,
,Employer contributions,—,—,40,67,204,194,—,—,,,,
,"Acquisitions/divestitures, net",—,—,2,4,—,—,—,—,,,,
,Plan participants' contributions,—,—,19,17,33,33,—,—,,,,
,Benefits paid from trust,(749),"(1,432)","(1,656)","(1,635)",(239),(233),(8),,(4),,,
,Foreign exchange impact,—,—,"2,654","(1,530)",—,—,2,,(5),,,
Amendments/curtailments/ settlements/other (1),,(306),"(6,178)",(175),"(1,277)",—,2,0,0,,,,
Fair value of plan assets at December 31,"18,073",,"17,591","26,733","25,205",5,6,9,14,,,,
,Funded status at December 31,,"3,373",,"(3,286)",,"(2,251)",(538),,(493),,,
,Accumulated benefit obligation,"14,460","14,219",,"29,540",,,,,,,,
