Change in benefit obligation,,,Defined Benefit Pension Plans,,,,,,Nonpension Postretirement Benefit Plans,
----------------------------------------------,-----------------------------------,----------,-----------------------------,--------------,---------,--------------,-------,-,---------------------------------------,-
,,U.S. Plans,,Non-U.S. Plans,U.S. Plan,Non-U.S. Plans,,,,
,Benefit obligation at January 1,"$ 14,219",,"$ 28,490",,,"$ 2,257",,"$ 2,233",
,Service cost,,394,,,"33,479",,,,
,Interest cost,352,911,174,,170,,,,
,Plan participants' contributions,—,—,19,,17,,,,
,"Acquisitions/divestitures, net",—,—,3,,7,,,,
,Actuarial losses/(gains),316,(589),,(644),"(1,076)",,,,
,Benefits paid from trust,(749),"(1,432)",,"(1,656)","(1,635)",,,,
,Direct benefit payments,(120),(122),,(442),(422),,,,
,Foreign exchange impact,—,—,"3,031",,"(1,850)",,,,
Amendments/curtailments/ settlements/other (1),,(306),"(6,178)",,(173),"(1,277)",,,,
,*Benefit obligation at December 31*,"*$ 14,460*","*$ 29,872*","*$ 2,224*","*$ 2,257*",,,,,
