,Change in plan assets,Fair value of plan assets at January 1,,,,,,,,,
----------------------------------------------,--------------------------------,--------------------------------------,----------,-------,--------,-------,-------,-,-,-,-
"$ 17,591","$ 24,437",,,,"$ 25,205",,,,,,
Actual return on plan assets,764,"1,536",,,645,,499,,,,
,Employer contributions,,—,—,40,,67,,,,
,"Acquisitions/divestitures, net",,—,—,2,,4,,,,
,Plan participants' contributions,,—,—,19,,17,,,,
,Benefits paid from trust,(749),,"(1,432)",,"(1,656)","(1,635)",,,,
,Foreign exchange impact,,—,—,"2,654",,"(1,530)",,,,
Amendments/curtailments/ settlements/other (1),,(306),,"(6,178)",,(175),"(1,277)",,,,
*Fair value of plan assets at December 31*,"*$ 18,073*","*$ 26,733*","*$ 25,205*",,,,,,,,
