,Defined Benefit Pension Plans,,*Nonpension Postretirement Benefit Plans*,
---------------------------------------------------------------,-----------------------------,--------------,-----------------------------------------,--------------
,U.S. Plans,Non-U.S. Plans,U.S. Plan,Non-U.S. Plans
Net loss at January 1,2025,2024,2025,2024
,"6,153","$ 9,467","$ 11,950",
Current period loss/(gain),(147),(101),(291),"12,937"
—,"(2,761)",(9),(73),60
Curtailments and settlements (1),(398),—,—,0
Amortization of net loss included in net periodic (income)/cost,(280),(452),(343),(516)
Net loss at December 31,"$ 5,726","$ 6,153","$ 11,307","$ 11,950"
