($ in millions),,Defined Benefit Pension Plans,,,,,,,,Nonpension Postretirement Benefit Plans,,,,,
------------------------------------------------------------------------------------,----------,-----------------------------,--------,--------,--------------,---------,--------------,-----,-,---------------------------------------,-,-,-,-,-
,U.S. Plans,,,,Non-U.S. Plans,U.S. Plan,Non-U.S. Plans,,,,,,,,
Net loss at January 1,"$ 6,153","$ 9,467","$ 11,950",,,,,,,,,,,,
Current period loss/(gain),,(147),,(101),,(291),"$ 12,937",,,,,,,,
,,—,,"(2,761)",,(9),,(73),,60,,,,,
Curtailments and settlements (1),,,,,,,,(398),,—,—,0,,,
Amortization of net loss included in net periodic (income)/cost,,(280),,(452),,(343),,(516),,,,,,,
Net loss at December 31,"$ 5,726",,"$ 6,153","$ 11,307","$ 11,950",,,,,,,,,,
Prior service costs/(credits) at January 1,$ 0,$ 0,$ 342,$ 309,,,,,,,,,,,
Current period prior service costs/(credits),,0,,—,,469,,56,,,,,,,
"Curtailments, settlements and other",,—,—,—,—,,,,,,,,,,
Amortization of prior service (costs)/credits included in net periodic (income)/cost,,—,,0,,(22),(22),,,,,,,,
Prior service costs/(credits) at December 31,$ 0,$ 0,$ 789,$ 342,,,,,,,,,,,
Transition (assets)/liabilities at January 1,$ —,$ —,$ —,$ 0,,,,,,,,,,,
Transition (assets)/liabilities at December 31,$ —,$ —,$ —,$ 0,,,,,,,,,,,
Total loss recognized in accumulated other comprehensive income/(loss),"$ 5,726",,"$ 6,153","$ 12,096","$ 12,293",,,,,,,,,,
