,,,,,,,,,,,,,,,,,,,,,,
-----------------------------------------------------------------------------,-------,-------,-----,--------,-----,--------,---,--------,-,------------------------------------,-------,---------,-----,--------,-----,--------,--------------,--------,-------,--------,-------,-----
,,,,,,,,,,,,U.S. Plan,,,,,Non-U.S. Plans,,,,,
,Level 1,,,,,,,,,,,,,,,Level 2,Level 3,Total,Level 1,Level 2,Level 3,Total
,,,,,,,,,,Equity securities (1),$ 738,$ —,$ 3,$ 741,$ 44,$ —,$ —,$ 44,,,,
,,,,,,,,,,Equity mutual funds (2),$ 349,$ —,$ —,$ 349,$ —,$ —,$ —,$ —,,,,
,,,,,,,,,,Fixed income,—,"$ 5,168",—,"$ 5,168",$ 93,"$ 6,142",—,"$ 6,235",,,,
,,,,,,,,,,Corporate bonds,—,"$ 3,839",$ 157,"$ 3,997",—,"$ 3,084",—,"$ 3,084",,,,
,,,,,,,,,,Mortgage and asset-backed securities,—,$ 127,—,$ 127,—,$ 5,—,$ 5,,,,
,,,,,,,,,,Fixed income mutual funds (4),$ 268,$ —,$ —,$ 268,$ —,$ —,$ —,$ —,,,,
,,,,,,,,,,Insurance contracts (5),—,—,—,—,—,"$ 4,399",—,"$ 4,399",,,,
,,,,,,,,,,Cash and short-term investments (6),"$ 1,733",($ 171),—,"$ 1,561",$ 204,$ 52,—,$ 256,,,,
,,,,,,,,,,Real estate,—,—,—,—,—,—,—,—,,,,
Derivatives (7),0,($ 1),—,($ 1),$ 39,$ 58,—,$ 97,,,,,,,,,,,,,,
,,,,,,,,,,Other mutual funds (8),—,—,—,—,$ 20,—,—,$ 20,,,,
Subtotal,"$ 3,088","$ 8,962",$ 160,"$ 12,210",$ 401,"$ 13,680",$ —,"$ 14,081",,,,,,,,,,,,,,
Investments measured at net asset value using the NAV practical expedient (9),,,,,,,,,,,,,—,—,—,"$ 5,863",—,—,—,"$ 12,726",,
,,,,,,,,,,Other (10),—,—,—,0,—,—,—,($ 47),,,,
,,,,,,,,,,Fair value of plan assets,"$ 1,747","$ 10,799",$ 193,"$ 17,591",$ 413,"$ 13,029",$ 3,"$ 25,205",,,,
