Marianne C. Brown,Former Chief Operating Officer,"Global Financial Solutions, Fidelity"
------------------------,-----------------------------------------------,------------------------------------
Arvind Krishna,"Chairman, President and Chief Executive Officer",IBM
Martha E. Pollack,President Emerita,Cornell University
Peter R. Voser,Retired Chief Executive Officer,Royal Dutch Shell plc
Thomas Buberl,Chief Executive Officer,AXA S.A.
Ramon Laguarta\*,Chairman and Chief Executive Officer,"PepsiCo, Inc."
David N. Farr,Retired Chairman and Chief Executive Officer,Emerson Electric Co.
Andrew N. Liveris,Retired Chairman and Chief Executive Officer,The Dow Chemical Company
Frederick H. Waddell\*\*,Retired Chairman and Chief Executive Officer,Northern Trust Corporation
Alex Gorsky,Former Chairman and Chief Executive Officer,Johnson & Johnson
Michelle J. Howard,Retired Admiral,United States Navy
Michael Miebach,Chief Executive Officer,Mastercard Incorporated
