In thousands of euros,Notes,30 Jun 25,31 Dec 24,Change
----------------------------------------------------------------------------------------,-------,-------------,------------,-----------
"Cash, due from central banks",,"1,529,779","863,504","666,274"
Financial assets at fair value through profit or loss,1,"3,868,930","4,739,783","(870,853)"
Hedging derivatives,2,"2,586,028","3,341,422","(755,394)"
Financial assets at fair value through other comprehensive income,3,"3,434,606","2,273,869","1,160,737"
Debt securities at amortised cost,5,"4,031,971","3,148,432","883,539"
Financial assets at amortised cost,,"53,009,695","53,772,227","(762,531)"
Loans and receivables due from credit institutions and equivalent at<br>amortised cost,5,"12,637,006","13,303,340","(666,334)"
On-demand,,"932,054","1,213,880","(281,826)"
At maturity,,"11,704,952","12,089,460","(384,508)"
Loans and receivables due from customers at amortised cost,5,"40,372,689","40,468,886","(96,198)"
Other loans to customers,,"40,372,689","40,468,886","(96,198)"
Of which calibration of the reserve account,,"(1,047,780)","(930,187)","(117,592)"
Revaluation differences on interest rate-hedged portfolio,,"14,045","45,209","(31,164)"
Current tax assets,,"8,398","5,966","2,432"
Deferred tax assets,,"27,419","27,513",(93)
Accruals and other miscellaneous assets,7,"3,466,979","2,907,962","559,017"
Accruals,,"96,148","53,516","42,632"
Other assets,,"3,370,831","2,854,445","516,386"
Equity stakes in companies accounted for by the equity method,20,"158,014","160,320","(2,305)"
"Fixed assets property, plant and equipment",8,"902,952","858,161","44,791"
Intangible assets,8,"190,124","182,597","7,527"
TOTAL ASSETS,,"73,228,942","72,326,964","901,978"
