In thousands of euros,30 Jun 25,30 Jun 24,31 Dec 24
--------------------------------------------------------------------------------------------------------------------------,-----------,-----------,-----------
Net income,"148,511","236,284","362,745"
Net gains and losses directly recognised in other comprehensive income to be recycled in profit or loss:,"51,527","(12,733)","(25,336)"
Net gains or losses on debt securities recognised in other comprehensive income to be recycled in profit or loss,"51,527","(12,733)","(25,336)"
Net gains and losses directly recognised in other comprehensive income not to be recycled in profit or loss:,"(40,968)","(5,448)","29,584"
Actuarial gains and losses on retirement benefits,"10,658",-,"8,389"
Net gains and losses on equity instruments recognised in other comprehensive income not to be recycled in profit or loss,"(51,626)","(5,448)","21,194"
Total gains and losses recognised directly in other comprehensive income,"10,559","(18,181)","4,247"
Net income and gains and losses recognised directly in other comprehensive income,"159,071","218,103","366,992"
of which Group share,"171,749","211,409","343,485"
of which non-controlling interests,"(12,678)","6,694","23,507"
