,,30 Jun 25,,,31 Dec 24,,,
------------------------------------------------------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
In thousands of euros,Level 1,Level 2,Level 3,Total,Level 1,Level 2,Level 3,Total
Assets/Liabilities,,,,,,,,
Equity instruments at fair value through profit and loss,-,-,"1,737,065","1,737,065",-,-,"1,878,196","1,878,196"
Debt securities that do not meet SPPI criteria,"772,431",-,"1,078,770","1,851,201","1,638,364",-,"1,189,366","2,827,730"
Financial assets recorded through equity,"2,622,660",-,"811,946","3,434,606","1,422,216",-,"851,653","2,273,869"
Hedging derivatives (Assets),-,"2,586,028",-,"2,586,028",-,"3,341,422",-,"3,341,422"
Financial liabilities at fair value through profit or loss,-,"90,875","4,395","95,270",-,"476,042","5,581","481,623"
Hedging derivatives (Liabilities),-,"4,159,400",-,"4,159,400",-,"3,662,740",-,"3,662,740"
Derivatives,-,"274,020","6,644","280,664",-,"27,020","6,837","33,856"
