In thousands of euros,30 Jun 25,31 Dec 24
-------------------------------------------------------------------------,-------------,-------------
Debts to credit institutions at amortised cost,,
On-demand debts,"21,648","9,016"
Debts at maturity,"10,561",540
Total debts to credit institutions,"32,210","9,556"
Debts to customers at amortised cost,"1,592","2,125"
Total debts to customers,"1,592","2,125"
Debt securities in issue at amortised cost,,
Interbank market securities,"2,012,968","809,211"
Bonds,"53,806,779","53,970,506"
Related debts,"504,451","717,494"
Valuation adjustments of debt securities in issue hedged by derivatives,"(1,961,209)","(2,031,860)"
Total debts securities in issue,"54,362,989","53,465,351"
