In thousands of euros,30 Jun 25,30 Jun 24
------------------------------------------------------------,-------------,-------------
From financial assets measured at amortised cost,"882,108","973,332"
Cash and demand accounts with central banks,"48,407","69,948"
Loans and receivables,"831,181","900,444"
Transactions with credit institutions,"220,572","251,941"
Transactions with customers,"610,609","648,503"
Debt securities,"2,520","2,939"
From financial assets at fair value through equity,"96,870","95,951"
Debt securities,"96,870","95,951"
From financial assets at fair value through profit or loss,"26,991","37,497"
Loans and receivables,"26,991","37,497"
Transactions with credit institutions,"15,445","22,268"
Transactions with customers,"11,546","15,229"
Interest accrued and due on hedging instruments,"1,251,103","1,412,191"
of which transactions with credit institutions,"601,119","797,120"
of which other interest and related income,"649,984","615,070"
Total interest income,"2,257,073","2,518,970"
From financial liabilities measured at amortised cost,"(609,864)","(548,815)"
Financial liabilities measured at amortised cost,"(609,864)","(548,815)"
Interest accrued and due on hedging instruments,"(1,418,879)","(1,702,538)"
Other interest and similar expenses,(128),"(5,636)"
Total interest expenses,"(2,028,870)","(2,256,990)"
