,,30 Jun 25,30 Jun 24,,
---------------------------------------------------------------------------------------------,---------------------------------------------------------------------------------------------,-------------------------------------------------------,---------------------------------------------------------------------------------------------,-------------------------------------------------------,--
In thousands of euros,Gains and losses<br>on financial<br>instruments at<br>fair value through<br>profit and loss,of which foreign<br>currency impact<br>on derivatives,Gains and losses<br>on financial<br>instruments at<br>fair value through<br>profit and loss,of which foreign<br>currency impact<br>on derivatives,
Financial assets and liabilities at fair value through profit or loss,"(49,819)","(3,436)","12,010","6,428",
Income from financial instruments at fair value through profit and loss,"25,071",-,"16,788",-,
Unrealised or realised gains or losses on debt securities that do not meet<br>SPPI criteria,"(98,679)",-,"5,177",-,
Hedging of loans at fair value through profit or loss,"23,789","(3,436)","(9,956)","6,428",
Income resulting from hedge accounting,"36,840","10,186","2,944","22,645",
Change in fair value of hedging derivatives,"(987,967)","10,570","49,965","22,754",
Change in fair value of the hedged item,"1,024,806",(384),"(47,021)",(109),
Natural hedging/Trading,"60,865","(480,882)","(30,185)","71,388",
CVA/DVA/FVA,(33),-,(46),-,
Total,"47,854","(474,131)","(15,276)","100,461",
