,,30 Jun 25,,,,31 Dec 24,,
---------------------------------,-------------------,-----------,-----------,------------,-------------------,-----------,-----------,------------
,Performing assets,,assets,,Performing assets,,assets,
In thousands of euros,Stage 1,Stage 2,Stage 3,Total,Stage 1,Stage 2,Stage 3,Total
Rating,,,,,,,,
from AAA to BBB- (RC1 to RC2),"9,305,728","107,022","19,450","9,432,200","9,178,229","113,255","21,394","9,312,878"
"from BB+ to CCC (RC3, RC4, RC5)","15,285,773","4,134,847","407,397","19,828,017","16,507,921","3,304,314","457,352","20,269,587"
Not applicable (1),-,-,-,-,-,-,-,-
Doubtful (RC6),-,-,"1,590,353","1,590,353",-,-,"1,587,426","1,587,426"
Total,"24,591,501","4,241,869","2,017,200","30,850,569","25,686,150","3,417,569","2,066,172","31,169,891"
