For year ended December 31:,2025,2024,Yrto-Yr.<br>Percent Change
-----------------------------------------------------,--------------,-------------,----------------------------
Net income as reported (1),"\$<br>10,593","\$<br>6,023",75.9 %
"Income from discontinued operations, net of tax",22,8,162.5 %
Income from continuing operations (1),"\$<br>10,571","\$<br>6,015",75.7 %
Non-operating adjustments (net of tax),,,
Acquisition-related charges,"1,534","1,456",5.4 %
Non-operating retirement-related costs/(income) (1),49,"2,668",(98.2) %
U.S. tax reform impacts,"(1,161)",(455),155.2 %
Operating (non-GAAP) earnings,"\$<br>10,993","\$<br>9,684",13.5 %
Diluted operating (non-GAAP) earnings per share,\$<br>11.59,\$<br>10.33,12.2 %
