For the year ended December 31:,2025,2024,Yrto-Yr.<br>Percent<br>Change
------------------------------------------------------------------,--------------,--------------,-------------------------------
"Selling, general and administrative expense",,,
"Selling, general and administrative–other","\$<br>16,108","\$<br>16,047",0.4 %
Advertising and promotional expense,"1,129","1,173",(3.7)
Workforce rebalancing charges,670,696,(3.7)
Amortization of acquired intangible assets,"1,279","1,105",15.8
Stock-based compensation (1),904,690,31.0
Provision for/(benefit from) expected credit loss expense,33,(21),NM
"Total selling, general and administrative expense","\$<br>20,123","\$<br>19,688",2.2 %
Non-operating adjustments,,,
Amortization of acquired intangible assets,"(1,279)","(1,105)",15.8
Acquisition-related charges (1),(138),(55),152.9
"Operating (non-GAAP) selling, general and administrative expense","\$<br>18,706","\$<br>18,529",1.0 %
