"For the year ended December 31, 2024:",GAAP,Acquisition<br>Related<br>Adjustments,Retirement<br>Related<br>Adjustments (3),U.S. Tax<br>Reform<br>Impacts (1),,Operating<br>(non-GAAP)
-------------------------------------------------------,-------------,---------------------------------------,------------------------------------------,-----------------------------------,----,-------------------------
Gross profit,"\$ 35,551",\$<br>724,\$<br>—,\$<br>—,,"\$ 36,275"
Gross profit margin,56.7 %,1.2 pts.,— pts.,— pts.,,57.8 %
SG&A,"\$ 19,688","\$ (1,159)",\$<br>—,\$<br>—,,"\$ 18,529"
Other (income) and expense (4),"1,871",(70),"(3,457)",—,,"(1,656)"
Total expense and other (income),"29,754","(1,229)","(3,457)",—,,"25,068"
Pre-tax income from continuing operations,"5,797","1,953","3,457",—,,"11,207"
Pre-tax margin from continuing operations,9.2 %,3.1 pts.,5.5 pts.,— pts.,,17.9 %
Provision for/(benefit from) income taxes (2),\$<br>(218),\$<br>497,\$<br>790,\$<br>455,\$,"1,523"
Effective tax rate,(3.8) %,5.1 pts.,8.2 pts.,4.1 pts.,,13.6 %
Income from continuing operations,"\$<br>6,015","\$ 1,456","\$ 2,668",\$<br>(455),\$,"9,684"
Income margin from continuing operations,9.6 %,2.3 pts.,4.3 pts.,(0.7) pts.,,15.4 %
Diluted earnings per share from continuing operations,\$<br>6.42,\$<br>1.55,\$<br>2.85,\$ (0.49),\$,10.33
