,Common<br>Stock and<br>Additional<br>Paid-in<br>Capital,Retained<br>Earnings,Treasury<br>Stock,Accumulated<br>Other<br>Comprehensive<br>Income/(Loss),Total IBM<br>Stockholders'<br>Equity,,Non<br>Controlling<br>Interests,Total<br>Equity
--------------------------------------------------------------------------------------------------,---------------------------------------------------------,----------------------,-------------------,--------------------------------------------------------,--------------------------------------,----,---------------------------------,-----------------
2023,,,,,,,,
"Equity, January 1, 2023","\$ 58,343","\$ 149,825","\$ (169,484) \$","(16,740) \$","21,944",\$,77,"\$ 22,021"
Net income plus other<br>comprehensive income/(loss),,,,,,,,
Net income,,"7,502",,,"7,502",,,"7,502"
Other comprehensive income/<br>(loss),,,,"(2,021)","(2,021)",,,"(2,021)"
Total comprehensive income,,,,,"\$<br>5,481",,,"\$ 5,481"
Cash dividends paid—common<br>stock (\$6.63 per share),,"(6,040)",,,"(6,040)",,,"(6,040)"
"Common stock issued under<br>employee plans (9,794,240<br>shares)","1,300",,,,"1,300",,,"1,300"
"Purchases (2,953,554 shares) and<br>sales (2,080,983 shares) of<br>treasury stock under employee",,,,,,,,
plans—net,,(11),(140),,(152),,,(152)
Changes in noncontrolling interests,,,,,,,3,3
"Equity, December 31, 2023","\$ 59,643","\$ 151,276","\$ (169,624) \$","(18,761) \$","22,533",\$,80,"\$ 22,613"
