,Common<br>Stock and<br>Additional<br>Paid-in<br>Capital,Retained<br>Earnings,Treasury<br>Stock,Accumulated<br>Other<br>Comprehensive<br>Income/(Loss),Total IBM<br>Stockholders'<br>Equity,Non<br>Controlling<br>Interests,Total<br>Equity
---------------------------------------------------------------------------------------------------------------,---------------------------------------------------------,----------------------,-------------------,--------------------------------------------------------,--------------------------------------,---------------------------------,-----------------
2024,,,,,,,
"Equity, January 1, 2024","\$ 59,643","\$ 151,276","\$ (169,624) \$","(18,761) \$","22,533",\$<br>80,"\$ 22,613"
Net income plus other<br>comprehensive income/(loss),,,,,,,
Net income,,"6,023",,,"6,023",,"6,023"
Other comprehensive income/<br>(loss),,,,"3,492","3,492",,"3,492"
Total comprehensive income,,,,,"\$<br>9,516",,"\$ 9,516"
Cash dividends paid—common<br>stock (\$6.67 per share),,"(6,147)",,,"(6,147)",,"(6,147)"
"Common stock issued under<br>employee plans (12,253,153<br>shares)","1,737",,,,"1,737",,"1,737"
"Purchases (3,430,885 shares) and<br>sales (2,454,155 shares) of<br>treasury stock under employee<br>plans—net",,11,(343),,(332),,(332)
Changes in noncontrolling interests,,,,,,6,6
"Equity, December 31, 2024","\$ 61,380","\$ 151,163","\$ (169,968) \$","(15,269) \$","27,307",\$<br>86,"\$ 27,393"
