,Amortization<br>Life (in Years),StreamSets and<br>webMethods,,Other<br>Acquisitions
-------------------------------------------------,---------------------------------,------------------------------,----,-----------------------
Current assets,,\$<br>362,\$,121
"Property, plant and equipment/noncurrent assets",,19,,31
Intangible assets,,,,
Goodwill,N/A,"1,074",,894
Client relationships,1—7,680,,167
Completed technology,5—7,550,,181
Trademarks,1—7,45,,6
Total assets acquired,,"\$<br>2,730",\$,"1,401"
Current liabilities,,201,,68
Noncurrent liabilities,,254,,78
Total liabilities assumed,,\$<br>455,\$,145
Total purchase price,,"\$<br>2,275",\$,"1,255"
