,Amortization<br>Life (in Years),"Apptio, Inc.",,Other<br>Acquisitions,
-------------------------------------------------,---------------------------------,--------------,----,-----------------------,--
Current assets,,\$<br>145,\$,83,
"Property, plant and equipment/noncurrent assets",,23,,20,
Intangible assets,,,,,
Goodwill,N/A,"3,501",,382,
Client relationships,6—10,770,,44,
Completed technology,5—7,530,,108,
Trademarks,1—5,35,,2,
Total assets acquired,,"\$<br>5,005",\$,639,
Current liabilities,,250,,44,
Noncurrent liabilities,,143,,10,
Total liabilities assumed,,\$<br>393,\$,54,
Total purchase price,,"\$<br>4,612",\$,585,
