For the year ended December 31:,2025,2024,2023
-----------------------------------------------------------------------,---------------,---------------,-------------
U.S. federal,,,
Current,"\$<br>(1,722)",\$<br>(335),\$<br>560
Deferred,(119),"(2,204)","(1,371)"
,"\$<br>(1,842)","\$<br>(2,539)",\$<br>(811)
U.S. state and local,,,
Current,\$<br>135,\$<br>152,\$<br>127
Deferred,(130),(335),(162)
,\$<br>5,\$<br>(183),\$<br>(34)
Non-U.S.,,,
Current,"\$<br>2,303","\$<br>2,301","\$<br>1,594"
Deferred,(708),203,428
,"\$<br>1,595","\$<br>2,504","\$<br>2,022"
Total continuing operations provision for/(benefit from) income taxes,\$<br>(242),\$<br>(218),"\$<br>1,176"
Discontinued operations provision for/(benefit from) income taxes,\$<br>(20),\$<br>6,\$<br>(9)
Total provision for/(benefit from) income taxes,\$<br>(262),\$<br>(212),"\$<br>1,167"
