,Client Financing Receivables,,,,
----------------------------------,-----------------------------------------------,----------------------------------------------,-------------------------------------,----------------------,--------------
,Client Loan and,Investment in,Commercial Financing<br>Receivables,,
"At December 31, 2024:",Installment Payment<br>Receivables<br>(Loans),Sales-Type and<br>Direct Financing<br>Leases,Held for<br>Investment,Held for<br>Sale (1),Total
"Financing receivables, gross","\$<br>7,425","\$<br>3,406","\$<br>1,322",\$<br>900,"\$<br>13,052"
Unearned income,(547),(344),—,—,(891)
Unguaranteed residual value,—,479,—,—,479
Amortized cost,"\$<br>6,878","\$<br>3,540","\$<br>1,322",\$<br>900,"\$<br>12,639"
Allowance for credit losses,(73),(50),(5),—,(128)
"Total financing receivables, net","\$<br>6,804","\$<br>3,491","\$<br>1,317",\$<br>900,"\$<br>12,512"
Current portion,"\$<br>3,535","\$<br>1,408","\$<br>1,317",\$<br>900,"\$<br>7,159"
Noncurrent portion,"\$<br>3,269","\$<br>2,083",\$<br>—,\$<br>—,"\$<br>5,353"
