,,Americas,,,,EMEA,,Asia Pacific,,,,
-----------------------,------------,----------,----,---------,----,------------,----,--------------,----,------------,----,---------
"At December 31, 2024:",Aaa - Baa3,,,Ba1 - C,,Aaa - Baa3,,Ba1 - C,,Aaa - Baa3,,Ba1 - C
Vintage year,,,,,,,,,,,,
2024,\$,"2,080",\$,621,\$,"1,145",\$,514,\$,616,\$,77
2023,,"1,372",,310,,341,,258,,285,,19
2022,,950,,113,,408,,194,,254,,26
2021,,233,,24,,125,,27,,69,,5
2020,,43,,17,,29,,15,,36,,8
2019 and prior,,53,,44,,37,,35,,26,,7
Total,\$,"4,732",\$,"1,129",\$,"2,085",\$,"1,043",\$,"1,287",\$,142
