,Foreign<br>Currency<br>Translation<br>Adjustments (1),Net Unrealized<br>Gains/(Losses)<br>on Available<br>For-Sale<br>Securities,Net Unrealized<br>Gains/(Losses)<br>on Cash Flow<br>Hedges,Net Change<br>Retirement<br>Related<br>Benefit<br>Plans,,,,,,,,,,Accumulated<br>Other<br>Comprehensive<br>Income/(Loss)
------------------------------------------------------------------------,-------------------------------------------------------,----------------------------------------------------------------------------,------------------------------------------------------------,---------------------------------------------------------,----------,----------------,--,--,--,--,--,--,--,--------------------------------------------------------
"December 31, 2022","\$<br>(3,591)",\$<br>(1),\$<br>(135),\$,"(13,013)","\$<br>(16,740)",,,,,,,,
Other comprehensive income before<br>reclassifications,103,0,144,,"(2,577)","(2,331)",,,,,,,,
Amount reclassified from accumulated<br>other comprehensive income,—,—,(115),,425,310,,,,,,,,
Total change for the period,103,0,28,,"(2,152)","(2,021)",,,,,,,,
"December 31, 2023","(3,488)",(1),(106),,"(15,165)","(18,761)",,,,,,,,
Other comprehensive income before<br>reclassifications,(23),1,276,,(39),215,,,,,,,,
Amount reclassified from accumulated<br>other comprehensive income (2),—,—,67,,"3,210","3,278",,,,,,,,
Total change for the period,(23),1,343,,"3,171","3,492",,,,,,,,
"December 31, 2024","(3,512)",0,237,,"(11,994)","(15,269)",,,,,,,,
Other comprehensive income before<br>reclassifications,(445),(1),(58),,(127),(630),,,,,,,,
Amount reclassified from accumulated<br>other comprehensive income,—,—,(336),,521,185,,,,,,,,
Total change for the period,(445),(1),(394),,394,(445),,,,,,,,
"December 31, 2025","\$<br>(3,956)",\$<br>0,\$<br>(157),\$,"(11,600)","\$<br>(15,713)",,,,,,,,
