,(Gain,ı)/Los,s Recog,gniz,ed in Co,nsol,idated I,ncor,ne State,eme,nt,,
-----------------------------------------------------------------,-------------------------------,--------,-----------,------,----------------------,------,----------,-----------------------------------------------------,----------,-----,-------,-----,-----
,Consolidated Income Statement,,,,gnized o<br>ivatives,n,,Attributable to Risk<br>Being Hedged <sup>(1)</sup>,,,,,
For the year ended December 31:,Line Item,2,2025 2024,,:,2023,2,2025,2024,,2,023,
Derivative instruments in fair value hedges (2),,,,,,,,,,,,,
Interest rate contracts,Cost of financing,\$,(11),\$,41,\$,17,\$,22,\$,(19),\$,2
,Interest expense,,(59),,208,,83,,118,,(97),,11
Derivative instruments not designated as<br>hedging instruments,,,,,,,,,,,,,
Foreign exchange contracts,Other (income)<br>and expense,,(116),,390,,192,,N/A,,N/A,,N/A
Equity contracts,SG&A expense,,(176),,(135),,(153),,N/A,,N/A,,N/A
,Other (income)<br>and expense,,_,,_,,_,,N/A,,N/A,,N/A
Total,,\$,(362),\$,504,\$,140,\$,140,\$,(116),\$,13
