,Effec,t of Derivat,ives Recog,nized in Consolidated I,ncome Sta,tement a,nd Other C,omprehen,sive Incor,ne
------------------------------------------------------------,------------,-----------------------------,------------,----------------------------------,-----------,------------------------,------------,----------,-------------------------,---------
,,,,,,,(Gains),/Losses,,
For the year ended,,ins/(Losses<br>ognized in C,,Consolidated<br>Income Statement,,eclassifie<br>from AOC,,,ts Exclude<br>reness Te,
December 31:,2025,2024,2023,Line Item,2025,2024,2023,2025,2024,2023
Derivative instruments in cash flow hedges,,,,,,,,,,
Interest rate contracts,\$ -,\$ -,\$ -,Cost of financing,\$ 2,\$ 2,\$ 3,N/A,N/A,N/A
,,,,Interest expense,11,13,15,N/A,N/A,N/A
Foreign exchange contracts,,,,,,,,,,
Amount included in the assessment of,,,,,,,,,,
effectiveness,175,405,213,Cost of services,27,(22),5,N/A,N/A,N/A
,,,,Cost of sales,15,(40),(22),N/A,N/A,N/A
,,,,Cost of financing,2,4,11,N/A,N/A,N/A
,,,,SG&A expense,6,(16),(12),N/A,N/A,N/A
,,,,Other (income)<br>and expense,(633),48,(239),N/A,N/A,N/A
,,,,Interest expense,12,19,51,N/A,N/A,N/A
Amount excluded from<br>the assessment of<br>effectiveness,(240),(16),(6),Other (income)<br>and expense,N/A,N/A,N/A,108,77,29
Instruments in net investment hedges <sup>(2)</sup>,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,
Amount included in the assessment of effectiveness,"(2,120)","1,354",(397),,,,,,,
Amount excluded from<br>the assessment of<br>effectiveness,22,4,_,Cost of financing,N/A,N/A,N/A,(18),(18),(22
3.100117011000,,-,,Interest expense,N/A,N/A,N/A,(96),(91),(105)
Total,"\$ (2,163)","\$1,747",\$ (190),1 Interest expense,\$(557),,\$(189),", ,",\$ (32),\$ (98)
· Otat,"Ψ (Ζ,±03)","Ψ±,/+/",Ψ (± 20),,Ψ(337),Ψ /,Ψ(±0 2),ψ (၁),Ψ (32),Ψ (70
