,RSUs,,,PSUs
----------------------------------------------------,---------------------------------,-----------------,---------------------------------,---------------------
,Weighted-Average<br>Grant Price,Number of Units,Weighted-Average<br>Grant Price,Number of Units (1)
"Balance at January 1, 2023",\$<br>115,"21,052,914",\$<br>117,"3,566,078"
Awards granted,118,"10,915,958",117,"1,295,937"
Awards released,114,"(7,383,980)",113,"(840,111)"
Awards canceled/forfeited/performance adjusted (2),115,"(1,527,249)",114,"(548,865)"
"Balance at December 31, 2023",\$<br>116,"23,057,643",\$<br>118,"3,473,039"
Awards granted,176,"8,220,339",165,"1,110,929"
Awards released,117,"(8,532,751)",126,"(963,249)"
Awards canceled/forfeited/performance adjusted (2),123,"(1,681,686)",131,"(319,169)"
"Balance at December 31, 2024",\$<br>139,"21,063,545",\$<br>130,"3,301,550"
Awards granted,257,"6,073,739",271,"884,271"
Awards released,131,"(8,814,716)",112,"(1,049,685)"
Awards canceled/forfeited/performance adjusted (2),154,"(1,446,258)",152,"(225,788)"
"Balance at December 31, 2025",\$<br>185,"16,876,310",\$<br>178,"2,910,348"
