,Weighted-Average<br>Exercise Price,Number of Shares<br>Under Option
---------------------------------------------,------------------------------------,----------------------------------
"Balance at January 1, 2023",\$<br>128,"6,274,525"
Options granted,133,"4,574,756"
Options exercised,125,"(408,045)"
Options forfeited/cancelled/expired,129,"(584,674)"
"Balance at December 31, 2023",\$<br>130,"9,856,562"
Options granted,181,"3,156,770"
Options exercised,133,"(2,384,273)"
Options forfeited/cancelled/expired,143,"(623,663)"
"Balance at December 31, 2024",\$<br>145,"10,005,396"
Options granted,262,"1,949,882"
Options exercised,137,"(1,698,270)"
Options forfeited/cancelled/expired,166,"(598,034)"
"Balance at December 31, 2025",\$<br>168,"9,658,974"
"Vested and exercisable at December 31, 2025",\$<br>137,"3,111,996"
