,,,Defined Benefit Pension Plans,,,Nonpension Postretirement Benefit Plans,,
---------------------------------------------------,------------,-----------,-------------------------------,------------,------------,-----------------------------------------,----------------,----------
,U.S. Plans,,Non-U.S. Plans,,U.S. Plan,,Non-U.S. Plans,
,2025,2024,2025,2024,2025,2024,2025,2024
Change in benefit obligation,,,,,,,,
Benefit obligation at January 1,"\$ 14,219","\$ 21,235","\$ 28,490","\$ 33,479","\$ 2,257","\$ 2,233",\$ 507,\$ 586
Service cost,352,394,174,170,2,2,2,2
Interest cost,748,911,"1,070","1,077",114,106,42,41
Plan participants' contributions,—,—,19,17,33,33,—,—
"Acquisitions/divestitures, net",—,—,3,7,—,—,—,—
Actuarial losses/(gains),316,(589),(644),"(1,076)",61,116,1,0
Benefits paid from trust,(749),"(1,432)","(1,656)","(1,635)",(239),(233),(8),(4)
Direct benefit payments,(120),(122),(442),(422),(3),(2),(34),(32)
Foreign exchange impact,—,—,"3,031","(1,850)",—,—,36,(85)
Amendments/curtailments/<br>settlements/other (1),(306),"(6,178)",(173),"(1,277)",0,—,0,(1)
Benefit obligation at December 31,"\$ 14,460","\$ 14,219","\$ 29,872","\$ 28,490","\$ 2,224","\$ 2,257",\$ 547,\$ 507
Change in plan assets,,,,,,,,
Fair value of plan assets at January 1,"\$ 17,591","\$ 24,437","\$ 25,205","\$ 29,059",\$<br>6,\$<br>10,\$<br>14,\$<br>23
Actual return on plan assets,"1,536",764,645,499,1,—,1,1
Employer contributions,—,—,40,67,204,194,—,—
"Acquisitions/divestitures, net",—,—,2,4,—,—,—,—
Plan participants' contributions,—,—,19,17,33,33,—,—
Benefits paid from trust,(749),"(1,432)","(1,656)","(1,635)",(239),(233),(8),(4)
Foreign exchange impact,—,—,"2,654","(1,530)",—,—,2,(5)
Amendments/curtailments/,(306),"(6,178)",(175),"(1,277)",—,2,0,0
settlements/other (1),,,,,,,,
Fair value of plan assets at<br>December 31,"\$ 18,073","\$ 17,591","\$ 26,733","\$ 25,205",\$<br>5,\$<br>6,\$<br>9,\$<br>14
Funded status at December 31,"\$ 3,613","\$ 3,373","\$ (3,139)","\$ (3,286)","\$ (2,219)","\$ (2,251)",\$ (538),\$ (493)
