,,,Defined Benefit Pension Plans,,,
-----------------------------------------------------------------------------------------------------------,--------,------------,-------------------------------,--------,----------------,--------
,,U.S. Plans,,,Non-U.S. Plans,
,2025,2024,2023,2025,2024,2023
Weighted-average assumptions used to measure net periodic<br>(income)/cost for the year ended December 31,,,,,,
Discount rate (1) (2),5.50 %,5.00 %,5.30 %,3.61 %,3.37 %,3.80 %
Expected long-term returns on plan assets (1) (2),5.50 %,5.08 %,5.50 %,4.86 %,4.89 %,4.44 %
Rate of compensation increase (3),4.00 %,5.00 %,N/A,4.04 %,4.18 %,4.00 %
Interest crediting rate (1),4.30 %,3.80 %,4.40 %,0.32 %,0.28 %,0.34 %
Weighted-average assumptions used to measure benefit<br>obligations at December 31,,,,,,
Discount rate,5.20 %,5.50 %,5.00 %,4.05 %,3.61 %,3.36 %
Rate of compensation increase,4.00 %,4.00 %,5.00 %,4.36 %,4.04 %,4.18 %
Interest crediting rate,4.10 %,4.30 %,3.80 %,0.29 %,0.32 %,0.28 %
