,Nonpension Postretirement Benefit Plans<br>U.S. Plan<br>Non-U.S. Plans<br>2025<br>2024<br>2023<br>2025<br>2024,,,,,,,,
--------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------,--------,--------,--------,--------,--------,--,--,--
,,,,,,,,,
,,,,,,2023,,,
Weighted-average assumptions used to measure net periodic<br>cost for the year ended December 31,,,,,,,,,
Discount rate,5.30 %,5.00 %,5.30 %,8.21 %,7.66 %,7.25 %,,,
Expected long-term returns on plan assets,N/A,N/A,N/A,8.25 %,8.12 %,8.05 %,,,
Interest crediting rate,4.30 %,3.80 %,4.40 %,N/A,N/A,N/A,,,
Weighted-average assumptions used to measure benefit<br>obligations at December 31,,,,,,,,,
Discount rate,4.80 %,5.30 %,5.00 %,9.01 %,8.21 %,7.66 %,,,
Interest crediting rate,4.10 %,4.30 %,3.80 %,N/A,N/A,N/A,,,
