,,,U.S. Plan,,,,Non-U.S. Plans,
-------------------------------------------------------------------------------------,-----------,----------,-----------,-----------,-----------,-----------,----------------,-----------
,Level 1,Level 2,Level 3,Total,Level 1,Level 2,Level 3,Total
Equity,,,,,,,,
Equity securities (1),\$<br>738,\$<br>—,\$<br>3,\$<br>741,\$<br>44,\$<br>—,\$<br>—,\$<br>44
Equity mutual funds (2),349,—,—,349,—,—,—,—
Fixed income,,,,,,,,
Government and related (3),—,"5,168",—,"5,168",93,"6,142",—,"6,235"
Corporate bonds,—,"3,839",157,"3,997",—,"3,084",—,"3,084"
Mortgage and asset-backed securities,—,127,—,127,—,5,—,5
Fixed income mutual funds (4),268,—,—,268,—,—,—,—
Insurance contracts (5),—,—,—,—,—,"4,399",—,"4,399"
Cash and short-term investments (6),"1,733",(171),—,"1,561",204,52,—,256
Real estate,—,—,—,—,—,—,—,—
Derivatives (7),0,(1),—,(1),38,(2),—,36
Other mutual funds (8),—,—,—,—,22,—,—,22
Subtotal,"3,088","8,962",160,"12,210",401,"13,680",—,"14,081"
Investments measured at net asset<br>value using the NAV practical<br>expedient (9),—,—,—,"5,863",—,—,—,"12,726"
Other (10),—,—,—,—,—,—,—,(74)
Fair value of plan assets,"\$ 3,088","\$ 8,962",\$<br>160,"\$ 18,073",\$<br>401,"\$ 13,680",\$<br>—,"\$ 26,733"
