In thousands of euros,Less than  3 months,From 3 months  to 1 year 30 Jun 25,From 1 year to  5 years,More than  5 years
Fair value hedging,,,,
"Interest rate derivatives 222,776 2,439,008 18,732,059 46,962,718 68,356,561",,,,
Interest rate and foreign exchange derivatives (cross currency swaps),,"88,006 5,697,931 8,496,750 4,146,231 18,428,917",,
,,,"Total 310,782 8,136,939 27,228,808 51,108,948 86,785,478",
In thousands of euros,Less than  3 months,From 3 months  to 1 year,From 1 year to  5 years,More than  5 years 31 Dec 24
Fair value hedging,,,,
"Interest rate derivatives 1,914,853 1,886,267 16,097,576 45,002,579 64,901,275",,,,
Interest rate and foreign exchange derivatives (cross currency swaps),,,"1,869,223 2,386,251 11,600,215 4,756,726 20,612,415",
,,,,"Total 3,784,077 4,272,518 27,697,791 49,759,304 85,513,690"
