In thousands of euros Land &  development Buildings &  development Other,Intangible  assets,30 Jun 25  31 Dec 24
Gross value,,
"At 1 January 89,601 901,428 93,509 335,400 1,419,939 1,097,945",,
"Purchases - 57,578 7,887 51,170 116,634 363,599",,
"Disposals/retirements - (193) (3,766) (21,331) (25,290) (44,202)",,
"Other items - (50) 402 (6,271) (5,919) 2,597",,
"At the end of the period 89,601 958,763 98,032 358,968 1,505,364 1,419,939",,
Depreciation/amortisation,,
"At 1 January (4,259) (185,185) (72,033) (152,803) (414,280) (368,841)",,
"Provisions (66) (4,879) (2,993) (16,069) (24,007) (49,224)",,
"Reversals - - 481 29 510 3,785",,
Other items - - - -,,- -
"At the end of the period (4,325) (190,064) (74,545) (168,843) (437,777) (414,280)",,
,,"Net value 85,277 768,699 23,487 190,124 1,067,587 1,005,659"
