In thousands of euros,,,EUR USD GBP JPY CHF AUD CNH DOP TRY,,30 Jun 25,,,,,
Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency
,,,,,"Bonds 39,680,502 10,525,670 1,362,514 85,650 107,861 238,377 180,004 20,799 148,644 52,350,022",,,,,
"Interbank market securities 2,012,968 -",-,-,-  -  -  -,-,"2,012,968",,,,,
,"Total 41,693,470 10,525,670 1,362,514 85,650 107,861 238,377 180,004 20,799 148,644 54,362,989",,,,,,,,,
In thousands of euros,,,,,EUR USD GBP JPY CHF AUD CNH DOP TRY 31 Dec 24,,,,,
Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency,Debt securities in issue by currency
,"Bonds 37,573,131 12,315,515 1,707,644 89,188 322,519 229,306 202,492 27,268 189,077 52,656,140",,,,,,,,,
"Interbank market securities 706,805 72,186 30,219 -",,,-  -  -  -,-,"809,211",,,,,
,,,,,"Total 38,279,937 12,387,701 1,737,863 89,188 322,519 229,306 202,492 27,268 189,077 53,465,351",,,,,
