For the year ended December 31:,Software Consulting Infrastructure Financing (1),Segments
2025,,
Revenue,"$ 29,962 $ 21,055 $ 15,718 $ 737 $ 67,472",
Segment cost,,"4,951 15,134 6,502 403 26,990"
Other expense and (income) (2),,"15,091 3,457 5,757 (187) 24,118"
Segment profit,,"9,920 2,464 3,458 521 16,364"
Revenue year-to-year change,10.6% 1.8 % 12.1 % 3.3 % 7.9%,
Segment profit year-to-year change,14.2% 20.0 % 41.2 % 49.6 % 20.9%,
Segment profit margin,33.1% 11.7 % 22.0 % 70.7 % 24.3%,
2024,,
Revenue,"$ 27,085 $ 20,692 $ 14,020 $ 713 $ 62,510",
Segment cost,,"4,428 15,103 6,201 372 26,103"
Other expense and (income) (2),,"13,974 3,535 5,369 (6) 22,872"
Segment profit,,"8,684 2,054 2,450 348 13,535"
Revenue year-to-year change,8.3% (0.9) %   (3.9) % (3.7) % 2.1%,
Segment profit year-to-year change,15.8% (3.6) % (13.4) % (6.6) % 5.5%,
Segment profit margin,32.1% 9.9 % 17.5 % 48.8 % 21.7%,
2023,,
Revenue,"$ 25,011 $ 20,884 $ 14,593 $ 741 $ 61,229",
Segment cost,,"4,289 15,297 6,406 384 26,376"
Other expense and (income) (2),,"13,222 3,458 5,359 (16) 22,023"
Segment profit,,"7,499 2,130 2,828 373 12,829"
